passer_name,passer_player_id,attempts,completions,passing_yards,touchdowns,interceptions,gsis_id,position,completion_pct_1,completion_pct_3,cmp_pct_delta,clutch_attempts,clutch_completions,clutch_yards,clutch_tds,clutch_ints,clutch_cmp_pct,clutch_ypa,fourth_down_attempts,fourth_down_completions,fourth_down_conversions,fourth_down_conversion_rate,player_id,archetype,display_name
D.Lock,00-0035704,77,48,536.0,4,3,00-0035704,QB,,,,10.0,5.0,92.0,1.0,0.0,49.9999950000005,9.199999080000092,,,,,00-0035704,The League Core,D.Lock
D.Mills,00-0036898,40,19,179.0,2,0,00-0036898,QB,,,,,,,,,,,5.0,1.0,1.0,19.9999960000008,00-0036898,The League Core,D.Mills
D.Prescott,00-0033077,650,451,4919.0,41,11,00-0033077,QB,72.09302297638364,68.58974315006576,-3.503279826317879,10.0,6.0,76.0,0.0,0.0,59.9999940000006,7.599999240000076,14.0,8.0,7.0,49.999996428571684,00-0033077,Elite Quarterbacks,D.Prescott
D.Ridder,00-0038122,386,249,2836.0,14,12,00-0038122,QB,64.17910399866341,59.04761848526078,-5.13148551340263,18.0,15.0,214.0,0.0,1.0,83.33332870370396,11.888888228395098,8.0,2.0,2.0,24.999996875000395,00-0038122,The League Core,D.Ridder
D.Watson,00-0033537,170,105,1115.0,9,5,00-0033537,QB,60.784312533640936,59.25925816186559,-1.5250543717753473,,,,,,,,,,,,00-0033537,Elite Quarterbacks,D.Watson
E.Stick,00-0035282,173,110,1126.0,5,1,00-0035282,QB,,,,,,,,,,,5.0,3.0,3.0,59.9999880000024,00-0035282,The League Core,E.Stick
G.Minshew,00-0035289,490,305,3305.0,17,9,00-0035289,QB,60.818713094627405,59.50413173963528,-1.3145813549921286,10.0,5.0,33.0,0.0,0.0,49.9999950000005,3.2999996700000334,21.0,11.0,11.0,52.38094988662143,00-0035289,The League Core,G.Minshew
G.Smith,00-0030565,495,321,3624.0,20,9,00-0030565,QB,68.71794836554899,56.93430615376419,-11.783642211784802,32.0,21.0,287.0,3.0,0.0,65.62499794921882,8.968749719726572,7.0,2.0,2.0,28.5714244897965,00-0030565,Elite Quarterbacks,G.Smith
J.Allen,00-0034857,646,432,4695.0,34,18,00-0034857,QB,74.7999997008,57.33333295111112,-17.466666749688883,12.0,6.0,65.0,1.0,0.0,49.999995833333685,5.416666215277815,11.0,5.0,5.0,45.45454132231443,00-0034857,Elite Quarterbacks,J.Allen
J.Browning,00-0035100,243,171,1936.0,13,7,00-0035100,QB,72.82608616493384,64.99999891666668,-7.826087248267157,11.0,7.0,72.0,1.0,0.0,63.6363578512402,6.545453950413278,5.0,2.0,2.0,39.9999920000016,00-0035100,Elite Quarterbacks,J.Browning
J.Burrow,00-0036442,364,244,2309.0,15,6,00-0036442,QB,66.90140797956755,68.53932507259185,1.6379170930242992,,,,,,,,5.0,4.0,3.0,59.9999880000024,00-0036442,Elite Quarterbacks,J.Burrow
J.Dobbs,00-0033949,417,262,2464.0,14,10,00-0033949,QB,65.16128990218523,61.20689602407848,-3.9543938781067496,21.0,10.0,105.0,1.0,0.0,47.61904535147403,4.999999761904773,14.0,4.0,3.0,21.428569897959292,00-0033949,The League Core,J.Dobbs
J.Driskel,00-0032436,26,13,166.0,2,2,00-0032436,QB,,,,,,,,,,,,,,,00-0032436,The League Core,J.Driskel
J.Fields,00-0036945,370,227,2562.0,18,9,00-0036945,QB,58.695651748582236,59.25925871056242,0.5636069619801845,15.0,5.0,99.0,0.0,2.0,33.33333111111126,6.59999956000003,8.0,4.0,4.0,49.99999375000079,00-0036945,The League Core,J.Fields
J.Flacco,00-0026158,250,157,1923.0,18,10,00-0026158,QB,67.30769166050297,56.66666572222224,-10.641025938280727,,,,,,,,10.0,6.0,5.0,49.9999950000005,00-0026158,The League Core,J.Flacco
J.Garoppolo,00-0031345,168,110,1205.0,7,9,00-0031345,QB,,,,,,,,,,,5.0,3.0,2.0,39.9999920000016,00-0031345,Elite Quarterbacks,J.Garoppolo
J.Goff,00-0033106,712,484,5412.0,37,12,00-0033106,QB,69.62962937174211,67.44186007301244,-2.187769298729677,20.0,17.0,163.0,1.0,0.0,84.99999575000021,8.14999959250002,31.0,13.0,13.0,41.935482518210236,00-0033106,Elite Quarterbacks,J.Goff
J.Herbert,00-0036355,456,296,3134.0,20,7,00-0036355,QB,70.30302987695134,53.719007820504075,-16.584022056447267,20.0,12.0,160.0,0.0,1.0,59.99999700000015,7.999999600000019,14.0,7.0,7.0,49.999996428571684,00-0036355,Elite Quarterbacks,J.Herbert
J.Hurts,00-0036389,573,377,4108.0,27,15,00-0036389,QB,61.214952984976854,66.41790995210515,5.202956967128294,22.0,11.0,99.0,1.0,3.0,49.99999772727283,4.4999997954545545,13.0,8.0,6.0,46.15384260355057,00-0036389,Elite Quarterbacks,J.Hurts
J.Love,00-0036264,632,409,4625.0,39,13,00-0036264,QB,71.48936139791762,59.32203356315235,-12.167327834765267,27.0,11.0,120.0,1.0,4.0,40.74073923182447,4.4444442798353965,18.0,11.0,10.0,55.555552469135975,00-0036264,Elite Quarterbacks,J.Love
J.Stidham,00-0035264,66,40,496.0,2,1,00-0035264,QB,,,,,,,,,,,,,,,,,J.Stidham
J.Winston,00-0031503,47,24,264.0,2,4,00-0031503,QB,,,,,,,,,,,,,,,00-0031503,Elite Quarterbacks,J.Winston
