display_name,player_id,archetype,cluster,completion_pct,yards_per_attempt,td_rate,int_rate,passer_rating,attempts,archetype_rank
Daniel Jones,00-0035710,The League Core,0,0.6426315789473684,6.585263157894737,0.03263157894736842,0.021052631578947368,83.19348316718057,1900,17.0
Tyler Huntley,00-0035993,The League Core,0,0.6566666666666666,5.796666666666667,0.016666666666666666,0.023333333333333334,76.86565982776088,300,34.0
Tua Tagovailoa,00-0036212,Elite Quarterbacks,1,0.6691086691086691,7.716117216117216,0.04945054945054945,0.022588522588522588,95.92315175714793,1638,18.0
Jordan Love,00-0036264,Elite Quarterbacks,1,0.6424870466321243,7.18307426597582,0.055267702936096716,0.018998272884283247,96.06001727115716,579,16.0
Jake Luton,00-0036312,Struggling & Backups,2,0.5454545454545454,5.672727272727273,0.01818181818181818,0.05454545454545454,54.50757575757576,110,6.0
Justin Herbert,00-0036355,Elite Quarterbacks,1,0.6659785301403799,7.111065235342692,0.04706853839801817,0.017341040462427744,95.5774900020527,2422,20.0
Jalen Hurts,00-0036389,Elite Quarterbacks,1,0.6337135614702155,7.455006337135615,0.042458808618504436,0.021546261089987327,88.85521433089251,1578,33.0
Joe Burrow,00-0036442,Elite Quarterbacks,1,0.6796833773087071,7.431662269129288,0.05118733509234828,0.019525065963060684,97.46869071621336,1895,13.0
Sam Ehlinger,00-0036879,The League Core,0,0.6336633663366337,5.673267326732673,0.0297029702970297,0.0297029702970297,76.0519801980198,101,36.0
Davis Mills,00-0036898,The League Core,0,0.6357388316151202,6.623138602520045,0.037800687285223365,0.0286368843069874,83.81566839403862,873,15.0
Justin Fields,00-0036945,The League Core,0,0.6033402922755741,6.966597077244259,0.04175365344467641,0.031315240083507306,81.58207211404277,958,26.0
Trevor Lawrence,00-0036971,The League Core,0,0.6377142857142857,6.725714285714286,0.03314285714285714,0.022285714285714287,85.18675448030872,1750,8.0
Mac Jones,00-0036972,The League Core,0,0.6605504587155964,6.818042813455658,0.035168195718654434,0.027522935779816515,84.74924922619205,1308,11.0
Zach Wilson,00-0037013,The League Core,0,0.5699899295065458,6.337361530715005,0.023162134944612285,0.025176233635448138,73.22051587727866,993,43.0
Sam Howell,00-0037077,The League Core,0,0.6339869281045751,6.447712418300654,0.03431372549019608,0.03431372549019608,78.92156862745097,612,32.0
Skylar Thompson,00-0037327,Struggling & Backups,2,0.5714285714285714,5.085714285714285,0.009523809523809525,0.02857142857142857,62.162698412698404,105,5.0
Brock Purdy,00-0037834,Elite Quarterbacks,1,0.6872964169381107,9.208469055374593,0.07166123778501629,0.024429967426710098,110.16759406465289,614,2.0
Kenny Pickett,00-0038102,The League Core,0,0.6255259467040674,6.274894810659187,0.0182328190743338,0.0182328190743338,79.0531739608789,713,31.0
Bailey Zappe,00-0038108,Struggling & Backups,2,0.5990566037735849,6.0,0.02830188679245283,0.04245283018867924,68.75,212,1.0
Desmond Ridder,00-0038122,The League Core,0,0.6401590457256461,7.045725646123261,0.027833001988071572,0.02385685884691849,84.93594053488721,503,10.0
Tyson Bagent,00-0038416,The League Core,0,0.6573426573426573,6.006993006993007,0.02097902097902098,0.04195804195804196,71.40151515151516,143,45.0
Tommy DeVito,00-0038476,The League Core,0,0.6404494382022472,6.185393258426966,0.0449438202247191,0.016853932584269662,89.18539325842696,178,3.0
Aidan O'Connell,00-0038579,The League Core,0,0.6209912536443148,6.466472303206997,0.03498542274052478,0.02040816326530612,83.93464528668609,343,14.0
Dorian Thompson-Robinson,00-0038583,Struggling & Backups,2,0.5357142857142857,3.9285714285714284,0.008928571428571428,0.03571428571428571,51.19047619047619,112,8.0
Bryce Young,00-0039150,The League Core,0,0.5977229601518027,5.459203036053131,0.020872865275142316,0.018975332068311195,73.6914927261227,527,41.0
Will Levis,00-0039152,The League Core,0,0.5843137254901961,7.090196078431372,0.03137254901960784,0.01568627450980392,84.24019607843137,255,13.0
C.J. Stroud,00-0039163,Elite Quarterbacks,1,0.6392785571142284,8.23246492985972,0.04609218436873747,0.01002004008016032,100.84752839011355,499,7.0
