name,position,debut,last
William Andrews,Running back,1979,1986
Willie Andrews,Defensive Back,2006,2007
George Andrie,Defensive End,1962,1972
Plato Andros,Guard,1947,1950
Teddy Andrulewicz,Wingback,1930,1930
Lou Andrus,Linebacker,1967,1967
Shane Andrus,Kicker,2009,2010
Sheldon Andrus,Defensive Tackle,1986,1987
Sig Andrusking,Guard,1937,1937
Zenon Andrusyshyn,Punter,1978,1978
Joe Andruzzi,Guard,1998,2006
Charlie Ane,Tackle,1953,1959
Charlie Ane,Center,1975,1981
Mark Anelli,Tight End,2002,2002
Jim Angelo,Guard,1987,1987
Bryan Anger,Punter,2012,2024
Pat Angerer,Linebacker,2010,2013
Elmer Angsman,Halfback,1946,1952
Richard Angulo,Tight End,2003,2008
Eli Ankou,Defensive Tackle,2017,2024
Jason Ankrah,Linebacker,2014,2014
Scott Ankrom,Wide Receiver,1989,1989
Dunc Annan,Tailback,1920,1926
Blake Annen,Tight End,2014,2014
Sam Anno,Outside Linebacker,1987,1993
Ezekiel Ansah,Defensive End,2013,2020
Charles Anthony,Linebacker,1974,1974
Cornelius Anthony,Linebacker,2002,2003
Daijahn Anthony,Safety,2024,2024
Reidel Anthony,Wide Receiver,1997,2001
Stephone Anthony,Inside Linebacker,2015,2019
Terrence Anthony,Defensive Back,1987,1987
Terry Anthony,Wide Receiver,1990,1991
Tyrone Anthony,Running back,1984,1985
Lionel Antoine,Tackle,1972,1978
Glenn Antrum,Wide Receiver,1989,1989
Houston Antwine,Defensive Tackle,1961,1972
Uzomah,Defensive End,2023,2024
Kenny Anunike,Defensive End,2015,2015
Chigozie Anusiem,Cornerback,2024,2024
Alex Anzalone,Outside Linebacker,2017,2024
Steve Apke,Linebacker,1987,1987
Troy Apke,Safety,2018,2022
Chuck Apolskis,End,1938,1939
Ray Apolskis,Center,1941,1950
Clarence Appelgran,Guard,1920,1920
Eli Apple,Cornerback,2016,2024
Jim Apple,Halfback,1961,1961
Scott Appleton,Defensive Tackle,1964,1968
Antwan Applewhite,Linebacker,2008,2012
Marger Apsit,Blocking Back,1931,1933
Ben Apuna,Linebacker,1980,1980
Leo Araguz,Punter,1996,2005
Matt Araiza,Punter,2024,2024
Evan Arapostathis,Punter,1986,1986
Fred Arbanas,Tight End,1962,1970
Hasson Arbubakrr,Defensive End,1983,1984
