player_id,attempts,completions,yards,tds,ints,epa_per_db,cpoe,name,cmp_pct,ypa,rating,third_down_delta,clutch_att,clutch_cmp_pct,fourth_att,fourth_rate,season
00-0033873,780,525.0,5896.0,48.0,16.0,0.30080558943835034,3.246764867040126,P.Mahomes,67.3076923076923,7.558974358974359,101.63461538461537,4.081670706694027,58.0,55.172413793103445,7.0,57.14285714285714,2021
00-0034796,382,246.0,2882.0,16.0,13.0,0.18140195283015204,0.6794994812448713,L.Jackson,64.3979057591623,7.544502617801047,86.96553228621292,-9.486670448099837,36.0,63.888888888888886,,,2021
00-0034855,418,253.0,3010.0,17.0,13.0,0.17741802295622822,-2.718707900494337,B.Mayfield,60.526315789473685,7.2009569377990434,83.12400318979267,-15.644171779141104,54.0,40.74074074074074,13.0,46.15384615384615,2021
00-0034857,708,457.0,5044.0,45.0,15.0,0.2251860790214027,2.8908279983425986,J.Allen,64.54802259887006,7.124293785310734,97.91666666666669,-10.14109347442681,71.0,60.56338028169014,15.0,46.666666666666664,2021
00-0034869,406,243.0,2527.0,9.0,13.0,-0.04226706071260369,-4.8873513044479,S.Darnold,59.85221674876847,6.224137931034483,71.94170771756978,-8.085550339071474,28.0,57.14285714285714,9.0,44.44444444444444,2021
00-0035228,515,352.0,3924.0,24.0,12.0,0.19040845339767293,2.8737195724188678,K.Murray,68.3495145631068,7.619417475728155,96.61407766990293,-13.771186440677965,20.0,80.0,14.0,57.14285714285714,2021
00-0035710,361,232.0,2428.0,10.0,7.0,0.0917467294381845,-0.8439087730319768,D.Jones,64.26592797783933,6.725761772853185,84.81648199445982,-13.693705914270211,20.0,65.0,8.0,50.0,2021
00-0035993,188,122.0,1081.0,3.0,4.0,0.034823403312542946,-1.053244907122392,T.Huntley,64.8936170212766,5.75,76.57358156028367,-15.45454545454546,41.0,56.09756097560976,8.0,62.5,2021
00-0036212,388,263.0,2653.0,16.0,10.0,0.1508365861394304,1.9254196866562492,T.Tagovailoa,67.78350515463917,6.837628865979381,90.06658075601374,-12.481962481962476,37.0,67.56756756756756,6.0,50.0,2021
00-0036355,672,443.0,5014.0,38.0,15.0,0.2549697047116971,-0.615461159333065,J.Herbert,65.92261904761905,7.461309523809524,97.65624999999999,-3.494822485207102,64.0,46.875,22.0,63.63636363636363,2021
00-0036389,475,288.0,3402.0,17.0,11.0,0.1251719487222659,-0.6127516384673329,J.Hurts,60.631578947368425,7.162105263157895,84.73245614035089,-5.510752688172047,32.0,56.25,11.0,27.27272727272727,2021
00-0036442,662,463.0,5716.0,39.0,16.0,0.33530616206029307,5.896984826477009,J.Burrow,69.93957703927492,8.634441087613293,105.91012084592144,0.5952380952380878,67.0,65.67164179104478,13.0,53.84615384615385,2021
00-0036898,394,263.0,2664.0,16.0,10.0,0.023727803907949634,-0.2196843661959209,D.Mills,66.75126903553299,6.761421319796955,88.84306260575295,-4.63949843260189,25.0,68.0,14.0,28.57142857142857,2021
